date,location,shift,scheduled_staff,active_staff,training_band
2026-07-08,Lab B,Evening,3,3,Intermediate
2026-07-08,Radiology A,Morning,5,5,Advanced
2026-07-08,Radiology A,Evening,3,3,Advanced
2026-07-08,Radiology B,Morning,6,6,Basic
2026-07-08,Radiology B,Evening,5,5,Basic
2026-07-08,ECG,Morning,5,4,Advanced
2026-07-08,ECG,Evening,7,7,Basic
2026-07-08,Ultrasound,Morning,6,6,Advanced
2026-07-08,Ultrasound,Evening,5,5,Basic
2026-07-09,Reception,Morning,3,2,Basic
2026-07-09,Reception,Evening,7,6,Basic
2026-07-09,Central Billing,Morning,4,3,Intermediate
2026-07-09,Central Billing,Evening,4,4,Intermediate
2026-07-09,Lab A,Morning,4,3,Advanced
2026-07-09,Lab A,Evening,7,7,Advanced
2026-07-09,Lab B,Morning,6,6,Intermediate
2026-07-09,Lab B,Evening,4,4,Advanced
2026-07-09,Radiology A,Morning,5,5,Intermediate
2026-07-09,Radiology A,Evening,6,5,Advanced
2026-07-09,Radiology B,Morning,6,5,Advanced
2026-07-09,Radiology B,Evening,3,3,Intermediate
2026-07-09,ECG,Morning,3,3,Intermediate
2026-07-09,ECG,Evening,7,7,Intermediate
2026-07-09,Ultrasound,Morning,3,3,Basic
2026-07-09,Ultrasound,Evening,3,3,Advanced
2026-07-10,Reception,Morning,6,6,Intermediate
2026-07-10,Reception,Evening,4,4,Advanced
2026-07-10,Central Billing,Morning,4,4,Advanced
2026-07-10,Central Billing,Evening,7,7,Basic
2026-07-10,Lab A,Morning,6,5,Basic
2026-07-10,Lab A,Evening,3,3,Advanced
2026-07-10,Lab B,Morning,6,5,Advanced
2026-07-10,Lab B,Evening,6,5,Intermediate
2026-07-10,Radiology A,Morning,3,2,Basic
2026-07-10,Radiology A,Evening,3,2,Advanced
2026-07-10,Radiology B,Morning,4,3,Basic
2026-07-10,Radiology B,Evening,7,6,Intermediate
2026-07-10,ECG,Morning,5,5,Intermediate
2026-07-10,ECG,Evening,3,3,Intermediate
2026-07-10,Ultrasound,Morning,3,3,Intermediate
2026-07-10,Ultrasound,Evening,7,6,Intermediate
2026-07-11,Reception,Morning,5,4,Basic
2026-07-11,Reception,Evening,3,3,Intermediate
2026-07-11,Central Billing,Morning,4,4,Intermediate
2026-07-11,Central Billing,Evening,7,7,Advanced
2026-07-11,Lab A,Morning,3,2,Basic
2026-07-11,Lab A,Evening,6,6,Intermediate
2026-07-11,Lab B,Morning,5,4,Advanced
2026-07-11,Lab B,Evening,7,6,Basic
2026-07-11,Radiology A,Morning,6,5,Basic
2026-07-11,Radiology A,Evening,5,5,Basic
2026-07-11,Radiology B,Morning,5,4,Advanced
2026-07-11,Radiology B,Evening,6,6,Advanced
2026-07-11,ECG,Morning,6,5,Basic
2026-07-11,ECG,Evening,6,6,Advanced
2026-07-11,Ultrasound,Morning,3,3,Intermediate
2026-07-11,Ultrasound,Evening,7,6,Basic
2026-07-12,Reception,Morning,5,5,Basic
2026-07-12,Reception,Evening,5,5,Basic
2026-07-12,Central Billing,Morning,4,3,Intermediate
2026-07-12,Central Billing,Evening,4,4,Advanced
2026-07-12,Lab A,Morning,4,4,Advanced
2026-07-12,Lab A,Evening,6,5,Advanced
2026-07-12,Lab B,Morning,4,4,Basic
2026-07-12,Lab B,Evening,3,2,Basic
2026-07-12,Radiology A,Morning,3,2,Intermediate
2026-07-12,Radiology A,Evening,4,4,Advanced
2026-07-12,Radiology B,Morning,5,5,Intermediate
2026-07-12,Radiology B,Evening,5,4,Advanced
2026-07-12,ECG,Morning,3,3,Intermediate
2026-07-12,ECG,Evening,5,5,Intermediate
2026-07-12,Ultrasound,Morning,7,7,Intermediate
2026-07-12,Ultrasound,Evening,5,4,Advanced
2026-07-13,Reception,Morning,5,5,Advanced
2026-07-13,Reception,Evening,6,5,Intermediate
2026-07-13,Central Billing,Morning,4,3,Intermediate
2026-07-13,Central Billing,Evening,3,3,Intermediate
2026-07-13,Lab A,Morning,5,4,Advanced
2026-07-13,Lab A,Evening,7,6,Basic
2026-07-13,Lab B,Morning,3,2,Intermediate
2026-07-13,Lab B,Evening,5,5,Intermediate
2026-07-13,Radiology A,Morning,5,4,Basic
2026-07-13,Radiology A,Evening,4,3,Basic
2026-07-13,Radiology B,Morning,3,3,Intermediate
2026-07-13,Radiology B,Evening,7,7,Advanced
2026-07-13,ECG,Morning,5,5,Basic
2026-07-13,ECG,Evening,4,3,Basic
2026-07-13,Ultrasound,Morning,4,3,Advanced
2026-07-13,Ultrasound,Evening,7,7,Advanced
2026-07-14,Reception,Morning,7,7,Intermediate
2026-07-14,Reception,Evening,4,4,Advanced
2026-07-14,Central Billing,Morning,6,5,Basic
2026-07-14,Central Billing,Evening,3,3,Advanced
2026-07-14,Lab A,Morning,5,4,Intermediate
2026-07-14,Lab A,Evening,3,2,Intermediate
2026-07-14,Lab B,Morning,6,5,Advanced
2026-07-14,Lab B,Evening,6,5,Intermediate
2026-07-14,Radiology A,Morning,3,3,Basic
2026-07-14,Radiology A,Evening,7,6,Basic
2026-07-14,Radiology B,Morning,7,6,Basic
2026-07-14,Radiology B,Evening,3,2,Intermediate
2026-07-14,ECG,Morning,7,7,Intermediate
2026-07-14,ECG,Evening,3,3,Basic
2026-07-14,Ultrasound,Morning,3,2,Advanced
2026-07-14,Ultrasound,Evening,5,5,Basic
