employee_id,role,digital_training_hours,assessment_score,adoption_status
EMP0084,Lab Coordinator,4,76,Adopted
EMP0085,Operations Executive,6,78,Adopted
EMP0086,Lab Coordinator,4,79,Adopted
EMP0087,Lab Coordinator,4,87,Adopted
EMP0088,Billing Officer,6,83,Needs Coaching
EMP0089,Operations Executive,4,91,Adopted
EMP0090,Billing Officer,8,89,Adopted
EMP0091,Operations Executive,6,70,Not Yet Adopted
EMP0092,Front Desk Officer,6,83,Adopted
EMP0093,Front Desk Officer,12,85,Adopted
EMP0094,Billing Officer,8,71,Adopted
EMP0095,Operations Executive,8,88,Adopted
EMP0096,Patient Navigator,4,89,Needs Coaching
EMP0097,Patient Navigator,8,80,Needs Coaching
EMP0098,Patient Navigator,8,82,Adopted
EMP0099,Billing Officer,8,87,Needs Coaching
EMP0100,Billing Officer,8,71,Adopted
EMP0101,Lab Coordinator,12,95,Adopted
EMP0102,Front Desk Officer,4,76,Adopted
EMP0103,Operations Executive,6,76,Adopted
EMP0104,Lab Coordinator,12,88,Adopted
EMP0105,Front Desk Officer,6,80,Adopted
EMP0106,Billing Officer,4,81,Adopted
EMP0107,Patient Navigator,8,74,Needs Coaching
EMP0108,Billing Officer,8,83,Adopted
EMP0109,Operations Executive,12,96,Adopted
EMP0110,Patient Navigator,4,79,Adopted
EMP0111,Operations Executive,8,97,Adopted
EMP0112,Front Desk Officer,6,84,Adopted
EMP0113,Lab Coordinator,6,75,Needs Coaching
EMP0114,Front Desk Officer,8,92,Adopted
EMP0115,Front Desk Officer,4,81,Adopted
EMP0116,Billing Officer,4,97,Adopted
EMP0117,Front Desk Officer,12,69,Adopted
EMP0118,Lab Coordinator,4,71,Adopted
EMP0119,Billing Officer,12,87,Adopted
EMP0120,Patient Navigator,12,96,Adopted
EMP0121,Operations Executive,8,94,Adopted
EMP0122,Front Desk Officer,8,80,Adopted
EMP0123,Operations Executive,4,91,Adopted
EMP0124,Operations Executive,6,76,Adopted
EMP0125,Patient Navigator,12,86,Adopted
EMP0126,Billing Officer,12,86,Adopted
EMP0127,Lab Coordinator,12,68,Not Yet Adopted
EMP0128,Billing Officer,8,96,Adopted
EMP0129,Operations Executive,12,86,Adopted
EMP0130,Front Desk Officer,4,81,Adopted
EMP0131,Front Desk Officer,6,66,Adopted
EMP0132,Patient Navigator,6,92,Adopted
EMP0133,Patient Navigator,4,90,Adopted
EMP0134,Billing Officer,6,75,Adopted
EMP0135,Front Desk Officer,8,83,Adopted
EMP0136,Lab Coordinator,8,75,Adopted
EMP0137,Patient Navigator,4,74,Adopted
EMP0138,Front Desk Officer,6,65,Adopted
EMP0139,Front Desk Officer,4,85,Adopted
EMP0140,Lab Coordinator,12,72,Adopted
EMP0141,Lab Coordinator,6,97,Adopted
EMP0142,Billing Officer,4,82,Adopted
EMP0143,Billing Officer,8,77,Adopted
EMP0144,Billing Officer,6,98,Needs Coaching
EMP0145,Front Desk Officer,8,93,Needs Coaching
EMP0146,Billing Officer,12,90,Adopted
EMP0147,Operations Executive,8,67,Adopted
EMP0148,Front Desk Officer,8,91,Adopted
EMP0149,Patient Navigator,12,66,Adopted
EMP0150,Operations Executive,6,81,Adopted
EMP0151,Front Desk Officer,12,98,Adopted
EMP0152,Patient Navigator,6,98,Adopted
EMP0153,Patient Navigator,8,97,Adopted
EMP0154,Billing Officer,8,90,Adopted
EMP0155,Lab Coordinator,8,92,Adopted
EMP0156,Front Desk Officer,8,78,Adopted
EMP0157,Patient Navigator,4,71,Not Yet Adopted
EMP0158,Front Desk Officer,8,80,Adopted
EMP0159,Lab Coordinator,4,77,Adopted
EMP0160,Lab Coordinator,4,65,Needs Coaching
EMP0161,Operations Executive,8,68,Not Yet Adopted
EMP0162,Billing Officer,8,84,Adopted
EMP0163,Front Desk Officer,12,76,Adopted
EMP0164,Patient Navigator,6,75,Adopted
EMP0165,Lab Coordinator,4,75,Adopted
EMP0166,Lab Coordinator,4,87,Adopted
EMP0167,Front Desk Officer,6,92,Adopted
EMP0168,Lab Coordinator,6,90,Not Yet Adopted
EMP0169,Front Desk Officer,6,72,Adopted
EMP0170,Billing Officer,6,97,Adopted
EMP0171,Patient Navigator,4,96,Not Yet Adopted
EMP0172,Patient Navigator,12,74,Adopted
EMP0173,Patient Navigator,4,98,Adopted
EMP0174,Operations Executive,4,93,Needs Coaching
EMP0175,Front Desk Officer,6,93,Adopted
EMP0176,Billing Officer,4,85,Adopted
EMP0177,Lab Coordinator,4,85,Adopted
EMP0178,Operations Executive,8,83,Adopted
EMP0179,Billing Officer,8,69,Adopted
EMP0180,Front Desk Officer,8,75,Adopted
